bsdl pin,rtl pin,socket pin,channel available
PCIE_7_LAN_0B_TXN,pcie_7_lan_0b_txn,IP_PCH::PCIE_7_LAN_0B_TXN,0
PCIE_6_TXN,pcie_6_txn,IP_PCH::PCIE_6_TXN,0
PCIE_5_TXN,pcie_5_txn,IP_PCH::PCIE_5_TXN,0
PCIE_4_TXN,pcie_4_txn,IP_PCH::PCIE_4_TXN,0
PCIE_3_LAN_0A_TXN,pcie_3_lan_0a_txn,IP_PCH::PCIE_3_LAN_0A_TXN,0
PCIE_2_TXN,pcie_2_txn,IP_PCH::PCIE_2_TXN,0
PCIE_1_TXN,pcie_1_txn,IP_PCH::PCIE_1_TXN,0
DMI_3_TXN,dmi_3_txn,IP_PCH::DMI_3_TXN,1
DMI_2_TXN,dmi_2_txn,IP_PCH::DMI_2_TXN,1
DMI_1_TXN,dmi_1_txn,IP_PCH::DMI_1_TXN,1
DMI_0_TXN,dmi_0_txn,IP_PCH::DMI_0_TXN,1
DMI_7_TXN,dmi_7_txn,IP_PCH::DMI_7_TXN,1
DMI_6_TXN,dmi_6_txn,IP_PCH::DMI_6_TXN,1
DMI_5_TXN,dmi_5_txn,IP_PCH::DMI_5_TXN,1
DMI_4_TXN,dmi_4_txn,IP_PCH::DMI_4_TXN,1
PCIE_21_TXN,pcie_21_txn,IP_PCH::PCIE_21_TXN,1
PCIE_22_TXN,pcie_22_txn,IP_PCH::PCIE_22_TXN,1
PCIE_23_TXN,pcie_23_txn,IP_PCH::PCIE_23_TXN,1
PCIE_24_TXN,pcie_24_txn,IP_PCH::PCIE_24_TXN,1
USB31_10_TXN,usb31_10_txn,IP_PCH::USB31_10_TXN,1
USB31_9_TXN,usb31_9_txn,IP_PCH::USB31_9_TXN,1
USB31_8_TXN,usb31_8_txn,IP_PCH::USB31_8_TXN,1
USB31_7_TXN,usb31_7_txn,IP_PCH::USB31_7_TXN,1
USB31_6_TXN,usb31_6_txn,IP_PCH::USB31_6_TXN,1
USB31_5_TXN,usb31_5_txn,IP_PCH::USB31_5_TXN,1
USB31_4_TXN,usb31_4_txn,IP_PCH::USB31_4_TXN,1
USB31_3_TXN,usb31_3_txn,IP_PCH::USB31_3_TXN,1
USB31_2_TXN,usb31_2_txn,IP_PCH::USB31_2_TXN,1
USB31_1_TXN,usb31_1_txn,IP_PCH::USB31_1_TXN,1
